group group.name disease flag n.target n.disease n.overlap j.overlap d.target d.disease symptomatic ra re z.pathway z.side d z pval pval.adj
DB00775 Tirofiban bone.diseases.metabolic False 2 27 0 0.0 49.0 15.0 False NA NA NA NA 3.0 1.33759391342 0.909485575181 0.992114253522
DB00775 Tirofiban colorectal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 1.83333333333 -0.887727019453 0.187343804086 0.540005981135
DB00775 Tirofiban eye.diseases False 2 231 0 0.0 49.0 20.5800865801 False NA NA NA NA 2.0 -0.339740999852 0.367025791438 0.540005981135
DB00775 Tirofiban collagen.diseases False 2 25 0 0.0 49.0 15.36 False NA NA NA NA 1.0 -4.4093875918 5.18316742772e-06 0.00040947022679
DB00775 Tirofiban leukemia.myeloid.acute False 2 43 0 0.0 49.0 51.4418604651 False NA NA NA NA 2.0 -0.458534027342 0.32328441085 0.540005981135
DB00775 Tirofiban kidney.diseases False 2 144 0 0.0 49.0 18.7291666667 False NA NA NA NA 2.0 -0.536302375217 0.295874794656 0.540005981135
DB00775 Tirofiban epilepsy False 2 25 0 0.0 49.0 13.56 False NA NA NA NA 3.0 1.51098447215 0.934603796442 0.992114253522
DB00775 Tirofiban joint.diseases False 2 79 0 0.0 49.0 28.1898734177 False NA NA NA NA 2.0 -0.40594386192 0.342391924491 0.540005981135
DB00775 Tirofiban vascular.diseases False 2 181 0 0.0 49.0 27.6077348066 False NA NA NA NA 2.0 -0.35018706322 0.363099157455 0.540005981135
DB00775 Tirofiban neuroendocrine.tumors False 2 24 0 0.0 49.0 39.6666666667 False NA NA NA NA 2.0 -0.69737805222 0.24278311657 0.540005981135
DB00775 Tirofiban parkinsonian.disorders False 2 31 0 0.0 49.0 20.6129032258 False NA NA NA NA 3.0 1.38441072636 0.916883636804 0.992114253522
DB00775 Tirofiban hypopigmentation False 2 22 0 0.0 49.0 32.9090909091 False NA NA NA NA 3.0 1.86102532441 0.96862969974 0.992114253522
DB00775 Tirofiban intestinal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 1.83333333333 -0.875466567787 0.190660046665 0.540005981135
DB00775 Tirofiban thyroid.diseases False 2 30 0 0.0 49.0 21.8666666667 False NA NA NA NA 2.0 -1.12479074009 0.130338859644 0.540005981135
DB00775 Tirofiban diabetes.mellitus False 2 162 0 0.0 49.0 19.1234567901 False NA NA NA NA 2.0 -0.885391500217 0.187972757553 0.540005981135
DB00775 Tirofiban dementia False 2 42 0 0.0 49.0 30.8095238095 False NA NA NA NA 2.0 -0.971552839136 0.165636527088 0.540005981135
DB00775 Tirofiban mycobacterium.infections False 2 22 0 0.0 49.0 32.7272727273 False NA NA NA NA 2.0 -0.668529599187 0.25189779721 0.540005981135
DB00775 Tirofiban arrhythmias.cardiac False 2 30 0 0.0 49.0 11.4666666667 False NA NA NA NA 2.5 -0.275044391314 0.391641066826 0.540005981135
DB00775 Tirofiban prostatic.neoplasms False 2 61 0 0.0 49.0 23.7704918033 False NA NA NA NA 2.0 -0.473933422032 0.317773692463 0.540005981135
DB00775 Tirofiban head.and.neck.neoplasms False 2 35 0 0.0 49.0 47.0857142857 False NA NA NA NA 2.0 -0.526644450912 0.299220258774 0.540005981135
DB00775 Tirofiban inflammatory.bowel.diseases False 2 119 0 0.0 49.0 23.3277310924 False NA NA NA NA 2.0 -0.523884715895 0.300179362991 0.540005981135
DB00775 Tirofiban gastrointestinal.neoplasms False 2 72 0 0.0 49.0 49.8194444444 False NA NA NA NA 2.0 -0.294396685472 0.384227399681 0.540005981135
DB00775 Tirofiban asthma False 2 36 0 0.0 49.0 26.8888888889 False NA NA NA NA 2.0 -0.50592032638 0.306456291188 0.540005981135
DB00775 Tirofiban alzheimer.disease False 2 29 0 0.0 49.0 28.6896551724 False NA NA NA NA 2.0 -1.10812161211 0.133904649216 0.540005981135
DB00775 Tirofiban metabolism.inborn.errors False 2 289 0 0.0 49.0 16.6332179931 False NA NA NA NA 2.0 -0.812314660921 0.208305550067 0.540005981135
DB00775 Tirofiban macular.degeneration False 2 44 0 0.0 49.0 9.61363636364 False NA NA NA NA 2.5 -0.361513599945 0.358857770091 0.540005981135
DB00775 Tirofiban breast.neoplasms False 2 40 0 0.0 49.0 43.4 False NA NA NA NA 2.5 1.07152825291 0.858034012946 0.992114253522
DB00775 Tirofiban hypersensitivity False 2 45 0 0.0 49.0 25.2 False NA NA NA NA 2.0 -0.451867921943 0.325682067409 0.540005981135
DB00775 Tirofiban adenocarcinoma False 2 32 0 0.0 49.0 49.625 False NA NA NA NA 2.0 -0.430373632931 0.333461936136 0.540005981135
DB00775 Tirofiban bone.diseases False 2 144 0 0.0 49.0 27.0208333333 False NA NA NA NA 2.0 -0.321343851851 0.373974914061 0.540005981135
DB00775 Tirofiban insulin.resistance False 2 26 0 0.0 49.0 15.2307692308 False NA NA NA NA 2.5 -0.0198556196112 0.492079274289 0.62587109127
DB00775 Tirofiban motor.neuron.disease False 2 31 0 0.0 49.0 38.935483871 False NA NA NA NA 2.0 -0.555369833166 0.289320861083 0.540005981135
DB00775 Tirofiban crohn.disease False 2 71 0 0.0 49.0 26.8309859155 False NA NA NA NA 2.0 -0.623976687057 0.266321447767 0.540005981135
DB00775 Tirofiban endocrine.system.diseases False 2 291 0 0.0 49.0 26.4467353952 False NA NA NA NA 2.0 -0.270657503419 0.393327232253 0.540005981135
DB00775 Tirofiban keratosis False 2 21 0 0.0 49.0 26.6666666667 False NA NA NA NA 2.5 0.154304767543 0.561315280808 0.692873549748
DB00775 Tirofiban psoriasis False 2 54 0 0.0 49.0 27.0 False NA NA NA NA 2.0 -0.513768079983 0.303707073655 0.540005981135
DB00775 Tirofiban varicose.veins False 2 20 0 0.0 49.0 15.3 False NA NA NA NA 2.0 -1.34746999044 0.0889144561036 0.540005981135
DB00775 Tirofiban spinal.cord.diseases False 2 59 0 0.0 49.0 38.593220339 False NA NA NA NA 2.0 -0.444953587221 0.328176647776 0.540005981135
DB00775 Tirofiban neoplasms False 2 482 0 0.0 49.0 36.2323651452 False NA NA NA NA 2.0 -0.0770413299349 0.469295333059 0.607775923142
DB00775 Tirofiban rheumatic.diseases False 2 59 0 0.0 49.0 28.5084745763 False NA NA NA NA 2.0 -0.408470767722 0.341464043784 0.540005981135
DB00775 Tirofiban pancreatic.diseases False 2 24 0 0.0 49.0 39.7083333333 False NA NA NA NA 2.5 0.758090473613 0.775801588849 0.942897315678
DB00775 Tirofiban myocardial.ischemia True 2 43 0 0.0 49.0 15.0465116279 False NA NA NA NA 2.25 -0.532999945155 0.297016809136 0.540005981135
DB00775 Tirofiban autoimmune.diseases False 2 243 0 0.0 49.0 26.7242798354 False NA NA NA NA 2.0 -0.281727636942 0.389076180641 0.540005981135
DB00775 Tirofiban kidney.neoplasms False 2 20 0 0.0 49.0 35.9 False NA NA NA NA 2.0 -0.727403963979 0.233489263457 0.540005981135
DB00775 Tirofiban arthritis False 2 76 0 0.0 49.0 29.2105263158 False NA NA NA NA 2.0 -0.427181068196 0.334623724717 0.540005981135
DB00775 Tirofiban leukemia False 2 117 0 0.0 49.0 46.641025641 False NA NA NA NA 2.0 -0.237585332292 0.406101363974 0.543762843287
DB00775 Tirofiban hyperinsulinism False 2 26 0 0.0 49.0 15.2307692308 False NA NA NA NA 2.5 -0.00222491206097 0.499112389241 0.62587109127
DB00775 Tirofiban diabetes.mellitus.type.2 False 2 72 0 0.0 49.0 18.4305555556 False NA NA NA NA 2.0 -1.09971889004 0.135727310833 0.540005981135
DB00775 Tirofiban arteriosclerosis False 2 38 0 0.0 49.0 18.8421052632 False NA NA NA NA 2.0 -1.13617734252 0.127941175519 0.540005981135
DB00775 Tirofiban gastroenteritis False 2 122 0 0.0 49.0 22.8524590164 False NA NA NA NA 2.0 -0.604229757915 0.272845449533 0.540005981135
DB00775 Tirofiban liver.cirrhosis False 2 24 0 0.0 49.0 36.25 False NA NA NA NA 2.0 -0.619528264951 0.267784203786 0.540005981135
DB00775 Tirofiban parkinson.disease False 2 30 0 0.0 49.0 21.2666666667 False NA NA NA NA 3.0 1.43485782363 0.924336191793 0.992114253522
DB00775 Tirofiban lupus.erythematosus.systemic False 2 75 0 0.0 49.0 22.1066666667 False NA NA NA NA 3.0 2.22457219511 0.986945014527 0.992114253522
DB00775 Tirofiban anemia.hemolytic False 2 29 0 0.0 49.0 20.0344827586 False NA NA NA NA 3.0 1.42697979125 0.923207140141 0.992114253522
DB00775 Tirofiban lymphoma False 2 24 0 0.0 49.0 60.75 False NA NA NA NA 2.5 0.905625680053 0.817432994145 0.972734195859
DB00775 Tirofiban colitis.ulcerative False 2 55 0 0.0 49.0 20.5090909091 False NA NA NA NA 2.0 -1.07433954275 0.141335264156 0.540005981135
DB00775 Tirofiban malabsorption.syndromes False 2 34 0 0.0 49.0 20.3823529412 False NA NA NA NA 2.0 -1.06808260177 0.142741626581 0.540005981135
DB00775 Tirofiban colitis False 2 55 0 0.0 49.0 20.5090909091 False NA NA NA NA 2.0 -1.11512811946 0.132397761565 0.540005981135
DB00775 Tirofiban anemia False 2 58 0 0.0 49.0 46.8965517241 False NA NA NA NA 2.5 1.19769244437 0.884481614076 0.992114253522
DB00775 Tirofiban sarcoma False 2 25 0 0.0 49.0 38.2 False NA NA NA NA 2.0 -0.633262979174 0.263280962308 0.540005981135
DB00775 Tirofiban multiple.sclerosis False 2 69 0 0.0 49.0 32.0 False NA NA NA NA 2.0 -0.43206142328 0.332848385647 0.540005981135
DB00775 Tirofiban coronary.disease True 2 37 0 0.0 49.0 16.4324324324 False NA NA NA NA 2.0 -1.2262256655 0.11005688276 0.540005981135
DB00775 Tirofiban lymphoma.non.hodgkin False 2 22 0 0.0 49.0 66.0454545455 False NA NA NA NA 2.5 0.934500468619 0.824977102817 0.972734195859
DB00775 Tirofiban hematologic.diseases False 2 188 2 0.0106382978723 49.0 37.3244680851 False NA NA NA NA 2.0 -0.161399256694 0.435889476035 0.573921143447
DB00775 Tirofiban skin.diseases False 2 278 0 0.0 49.0 28.690647482 False NA NA NA NA 2.0 -0.262520510216 0.396460087416 0.540005981135
DB00775 Tirofiban blood.coagulation.disorders False 2 40 2 0.05 49.0 21.2 False NA NA NA NA 1.5 -2.5137898365 0.00597207939178 0.235897135975
DB00775 Tirofiban cardiovascular.diseases False 2 330 0 0.0 49.0 24.8636363636 False NA NA NA NA 2.0 -0.32080967815 0.374177312329 0.540005981135
DB00775 Tirofiban amyotrophic.lateral.sclerosis False 2 21 0 0.0 49.0 34.5714285714 False NA NA NA NA 2.0 -0.695714020151 0.243303971787 0.540005981135
