group group.name disease flag n.target n.disease n.overlap j.overlap d.target d.disease symptomatic ra re z.pathway z.side d z pval pval.adj
DB00775 Tirofiban bone.diseases.metabolic False 2 27 0 0.0 49.0 15.0 False NA NA NA NA 2.0 -0.0199218162259 0.492052870883 0.813907424077
DB00775 Tirofiban colorectal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 1.5 -0.467109016797 0.320210941694 0.781447182872
DB00775 Tirofiban eye.diseases False 2 231 0 0.0 49.0 20.5800865801 False NA NA NA NA 1.0 -1.05804701304 0.145017004756 0.602965440826
DB00775 Tirofiban collagen.diseases False 2 25 0 0.0 49.0 15.36 False NA NA NA NA 1.0 -3.58393028315 0.000169231230946 0.00445642241492
DB00775 Tirofiban leukemia.myeloid.acute False 2 43 0 0.0 49.0 51.4418604651 False NA NA NA NA 1.5 -0.619489242088 0.267797053398 0.729516110982
DB00775 Tirofiban kidney.diseases False 2 144 0 0.0 49.0 18.7291666667 False NA NA NA NA 1.5 -0.24439733676 0.403461552105 0.813907424077
DB00775 Tirofiban epilepsy False 2 25 0 0.0 49.0 13.56 False NA NA NA NA 2.0 -0.124061246235 0.450633391037 0.813907424077
DB00775 Tirofiban joint.diseases False 2 79 0 0.0 49.0 28.1898734177 False NA NA NA NA 2.0 0.923562665796 0.822142970311 0.832683264803
DB00775 Tirofiban vascular.diseases False 2 181 0 0.0 49.0 27.6077348066 False NA NA NA -2.11536295771 1.0 -1.21286352081 0.112591002338 0.555918074043
DB00775 Tirofiban neuroendocrine.tumors False 2 24 0 0.0 49.0 39.6666666667 False NA NA NA NA 2.0 0.392212553275 0.652549415226 0.813907424077
DB00775 Tirofiban parkinsonian.disorders False 2 31 0 0.0 49.0 20.6129032258 False NA NA NA NA 2.0 0.39048047851 0.651909356093 0.813907424077
DB00775 Tirofiban hypopigmentation False 2 22 0 0.0 49.0 32.9090909091 False NA NA NA -0.544617107392 2.0 0.263686617077 0.603989295652 0.813907424077
DB00775 Tirofiban intestinal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 1.5 -0.435249389898 0.331690708072 0.781447182872
DB00775 Tirofiban thyroid.diseases False 2 30 0 0.0 49.0 21.8666666667 False NA NA NA NA 2.0 0.248506409683 0.598128694306 0.813907424077
DB00775 Tirofiban diabetes.mellitus False 2 162 0 0.0 49.0 19.1234567901 False NA NA NA 0.4771963648 1.0 -1.47384946513 0.0702610632974 0.504602181863
DB00775 Tirofiban dementia False 2 42 0 0.0 49.0 30.8095238095 False NA NA NA -0.829132411824 2.0 0.6786760152 0.751328416726 0.813907424077
DB00775 Tirofiban mycobacterium.infections False 2 22 0 0.0 49.0 32.7272727273 False NA NA NA NA 2.0 0.1372213348 0.554572076154 0.813907424077
DB00775 Tirofiban arrhythmias.cardiac False 2 30 0 0.0 49.0 11.4666666667 False NA NA NA 0.234557440455 2.0 -0.0799661350902 0.468132094985 0.813907424077
DB00775 Tirofiban prostatic.neoplasms False 2 61 0 0.0 49.0 23.7704918033 False NA NA NA NA 1.5 -0.864778714878 0.193580127969 0.676421650527
DB00775 Tirofiban head.and.neck.neoplasms False 2 35 0 0.0 49.0 47.0857142857 False NA NA NA NA 2.0 0.732389421992 0.768034543331 0.813907424077
DB00775 Tirofiban inflammatory.bowel.diseases False 2 119 0 0.0 49.0 23.3277310924 False NA NA NA 0.318098076592 1.5 -0.337760264737 0.367771928007 0.807055064237
DB00775 Tirofiban gastrointestinal.neoplasms False 2 72 0 0.0 49.0 49.8194444444 False NA NA NA NA 1.5 -0.0752511476879 0.470007444856 0.813907424077
DB00775 Tirofiban asthma False 2 36 0 0.0 49.0 26.8888888889 False NA NA NA NA 2.0 0.374541176039 0.645999135973 0.813907424077
DB00775 Tirofiban alzheimer.disease False 2 29 0 0.0 49.0 28.6896551724 False NA NA NA NA 2.0 0.455497834183 0.67562443732 0.813907424077
DB00775 Tirofiban metabolism.inborn.errors False 2 289 0 0.0 49.0 16.6332179931 False NA NA NA NA 1.0 -0.949263757649 0.171243240758 0.65010872361
DB00775 Tirofiban macular.degeneration False 2 44 0 0.0 49.0 9.61363636364 False NA NA NA NA 2.0 -0.0230230619267 0.490815938533 0.813907424077
DB00775 Tirofiban breast.neoplasms False 2 40 0 0.0 49.0 43.4 False NA NA NA NA 1.5 -0.839058614702 0.200718209137 0.676421650527
DB00775 Tirofiban hypersensitivity False 2 45 0 0.0 49.0 25.2 False NA NA NA NA 2.0 0.472528965375 0.681725364044 0.813907424077
DB00775 Tirofiban adenocarcinoma False 2 32 0 0.0 49.0 49.625 False NA NA NA NA 2.0 0.694601169479 0.756347360424 0.813907424077
DB00775 Tirofiban bone.diseases False 2 144 0 0.0 49.0 27.0208333333 False NA NA NA NA 1.0 -1.54902681735 0.0606876367909 0.479432330648
DB00775 Tirofiban insulin.resistance False 2 26 0 0.0 49.0 15.2307692308 False NA NA NA NA 2.0 -0.0624825686791 0.475089271497 0.813907424077
DB00775 Tirofiban motor.neuron.disease False 2 31 0 0.0 49.0 38.935483871 False NA NA NA NA 2.0 0.696171502337 0.756839283927 0.813907424077
DB00775 Tirofiban crohn.disease False 2 71 0 0.0 49.0 26.8309859155 False NA NA NA NA 1.5 -0.633317947058 0.263263017835 0.729516110982
DB00775 Tirofiban endocrine.system.diseases False 2 291 0 0.0 49.0 26.4467353952 False NA NA NA -1.9899831139 1.0 -0.822152041262 0.20549518497 0.676421650527
DB00775 Tirofiban keratosis False 2 21 0 0.0 49.0 26.6666666667 False NA NA NA NA 2.0 0.153750452037 0.561096748639 0.813907424077
DB00775 Tirofiban psoriasis False 2 54 0 0.0 49.0 27.0 False NA NA NA -1.15321800315 2.0 0.716647560484 0.763204204862 0.813907424077
DB00775 Tirofiban varicose.veins False 2 20 0 0.0 49.0 15.3 False NA NA NA -0.636103541519 2.0 -0.129742194733 0.448385199058 0.813907424077
DB00775 Tirofiban spinal.cord.diseases False 2 59 0 0.0 49.0 38.593220339 False NA NA NA NA 2.0 0.874219873728 0.809000737463 0.830013743631
DB00775 Tirofiban neoplasms False 2 482 0 0.0 49.0 36.2323651452 False NA NA NA -1.67655330608 1.0 -0.157760700747 0.437322683521 0.813907424077
DB00775 Tirofiban rheumatic.diseases False 2 59 0 0.0 49.0 28.5084745763 False NA NA NA NA 2.0 0.774271114986 0.780614759316 0.813907424077
DB00775 Tirofiban pancreatic.diseases False 2 24 0 0.0 49.0 39.7083333333 False NA NA NA -2.48919455674 1.5 -1.4236041715 0.0772805438113 0.508763580091
DB00775 Tirofiban myocardial.ischemia True 2 43 0 0.0 49.0 15.0465116279 False NA NA NA -1.25902173288 1.0 -3.19515010647 0.000698790655562 0.0138011154474
DB00775 Tirofiban autoimmune.diseases False 2 243 0 0.0 49.0 26.7242798354 False NA NA NA NA 1.0 -0.943104561716 0.172813711339 0.65010872361
DB00775 Tirofiban kidney.neoplasms False 2 20 0 0.0 49.0 35.9 False NA NA NA NA 2.0 0.302702757298 0.61894180185 0.813907424077
DB00775 Tirofiban arthritis False 2 76 0 0.0 49.0 29.2105263158 False NA NA NA NA 2.0 0.970588235294 0.834123316612 0.834123316612
DB00775 Tirofiban leukemia False 2 117 0 0.0 49.0 46.641025641 False NA NA NA -0.433737956516 1.5 0.220941103032 0.587430853718 0.813907424077
DB00775 Tirofiban hyperinsulinism False 2 26 0 0.0 49.0 15.2307692308 False NA NA NA NA 2.0 -0.0581360960263 0.476820111266 0.813907424077
DB00775 Tirofiban diabetes.mellitus.type.2 False 2 72 0 0.0 49.0 18.4305555556 False NA NA NA NA 1.0 -2.46075103657 0.00693232693917 0.0912756380324
DB00775 Tirofiban arteriosclerosis False 2 38 0 0.0 49.0 18.8421052632 False NA NA NA NA 1.5 -1.33025886574 0.0917164975235 0.529208572041
DB00775 Tirofiban gastroenteritis False 2 122 0 0.0 49.0 22.8524590164 False NA NA NA NA 1.5 -0.36515170904 0.357499081794 0.806926498907
DB00775 Tirofiban liver.cirrhosis False 2 24 0 0.0 49.0 36.25 False NA NA NA NA 2.0 0.302499794349 0.6188644549 0.813907424077
