group group.name disease flag n.target n.disease n.overlap j.overlap d.target d.disease symptomatic ra re z.pathway z.side d z pval pval.adj
DB00775 Tirofiban bone.diseases.metabolic False 2 27 0 0.0 49.0 15.0 False NA NA NA NA 1.10536398467 3.13571353454 0.999142817139 0.999999999446
DB00775 Tirofiban colorectal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 1.23917748918 3.58244341332 0.999829802316 0.999999999446
DB00775 Tirofiban eye.diseases False 2 231 0 0.0 49.0 20.5800865801 False NA NA NA NA 1.5423517827 3.90370555783 0.99995263449 0.999999999446
DB00775 Tirofiban collagen.diseases False 2 25 0 0.0 49.0 15.36 False NA NA NA NA 1.04148148148 3.05544298781 0.998876358381 0.999999999446
DB00775 Tirofiban leukemia.myeloid.acute False 2 43 0 0.0 49.0 51.4418604651 False NA NA NA NA 1.24056847545 3.59731680974 0.999839241607 0.999999999446
DB00775 Tirofiban kidney.diseases False 2 144 0 0.0 49.0 18.7291666667 False NA NA NA NA 1.49205669711 3.92645615483 0.999956896701 0.999999999446
DB00775 Tirofiban epilepsy False 2 25 0 0.0 49.0 13.56 False NA NA NA NA 1.38592592593 4.31745200148 0.999992107964 0.999999999446
DB00775 Tirofiban joint.diseases False 2 79 0 0.0 49.0 28.1898734177 False NA NA NA NA 1.50187529301 4.17091720873 0.999984831196 0.999999999446
DB00775 Tirofiban vascular.diseases False 2 181 0 0.0 49.0 27.6077348066 False NA NA NA NA 1.2941611569 3.05311411157 0.99886760101 0.999999999446
DB00775 Tirofiban neuroendocrine.tumors False 2 24 0 0.0 49.0 39.6666666667 False NA NA NA NA 1.39423076923 4.25809751104 0.999989691299 0.999999999446
DB00775 Tirofiban parkinsonian.disorders False 2 31 0 0.0 49.0 20.6129032258 False NA NA NA NA 1.2981427175 3.82421336893 0.999934404866 0.999999999446
DB00775 Tirofiban hypopigmentation False 2 22 0 0.0 49.0 32.9090909091 False NA NA NA NA 1.47727272727 4.65671300039 0.999998393511 0.999999999446
DB00775 Tirofiban intestinal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 1.23917748918 3.53324470753 0.999794753836 0.999999999446
DB00775 Tirofiban thyroid.diseases False 2 30 0 0.0 49.0 21.8666666667 False NA NA NA NA 1.2125 3.58982344987 0.999834548998 0.999999999446
DB00775 Tirofiban diabetes.mellitus False 2 162 0 0.0 49.0 19.1234567901 False NA NA NA NA 1.43714242698 3.66211332395 0.999874928424 0.999999999446
DB00775 Tirofiban dementia False 2 42 0 0.0 49.0 30.8095238095 False NA NA NA NA 1.23268398268 3.59148907893 0.999835603022 0.999999999446
DB00775 Tirofiban mycobacterium.infections False 2 22 0 0.0 49.0 32.7272727273 False NA NA NA NA 1.85606060606 6.09304149305 0.999999999446 0.999999999446
DB00775 Tirofiban arrhythmias.cardiac False 2 30 0 0.0 49.0 11.4666666667 False NA NA NA NA 1.32916666667 4.03853512568 0.99997310698 0.999999999446
DB00775 Tirofiban prostatic.neoplasms False 2 61 0 0.0 49.0 23.7704918033 False NA NA NA NA 1.27829820453 3.37696456374 0.999633547542 0.999999999446
