group group.name disease flag n.target n.disease n.overlap s z
DB00775 Tirofiban bone.diseases.metabolic False 2 27 0 NA -0.019922
DB00775 Tirofiban colorectal.neoplasms False 2 42 0 NA -0.467109
DB00775 Tirofiban eye.diseases False 2 231 0 NA -1.058047
DB00775 Tirofiban collagen.diseases False 2 25 0 NA -3.583930
DB00775 Tirofiban leukemia.myeloid.acute False 2 43 0 NA -0.619489
DB00775 Tirofiban kidney.diseases False 2 144 0 NA -0.244397
DB00775 Tirofiban epilepsy False 2 25 0 NA -0.124061
DB00775 Tirofiban joint.diseases False 2 79 0 NA 0.923563
DB00775 Tirofiban vascular.diseases False 2 181 0 NA -1.212864
DB00775 Tirofiban neuroendocrine.tumors False 2 24 0 NA 0.392213
DB00775 Tirofiban parkinsonian.disorders False 2 31 0 NA 0.390480
DB00775 Tirofiban hypopigmentation False 2 22 0 NA 0.263687
DB00775 Tirofiban intestinal.neoplasms False 2 42 0 NA -0.435249
DB00775 Tirofiban thyroid.diseases False 2 30 0 NA 0.248506
DB00775 Tirofiban diabetes.mellitus False 2 162 0 NA -1.473849
DB00775 Tirofiban dementia False 2 42 0 NA 0.678676
DB00775 Tirofiban mycobacterium.infections False 2 22 0 NA 0.137221
DB00775 Tirofiban arrhythmias.cardiac False 2 30 0 NA -0.079966
DB00775 Tirofiban prostatic.neoplasms False 2 61 0 NA -0.864779
DB00775 Tirofiban head.and.neck.neoplasms False 2 35 0 NA 0.732389
DB00775 Tirofiban inflammatory.bowel.diseases False 2 119 0 NA -0.337760
DB00775 Tirofiban gastrointestinal.neoplasms False 2 72 0 NA -0.075251
DB00775 Tirofiban asthma False 2 36 0 NA 0.374541
DB00775 Tirofiban alzheimer.disease False 2 29 0 NA 0.455498
DB00775 Tirofiban metabolism.inborn.errors False 2 289 0 NA -0.949264
DB00775 Tirofiban macular.degeneration False 2 44 0 NA -0.023023
DB00775 Tirofiban breast.neoplasms False 2 40 0 NA -0.839059
DB00775 Tirofiban hypersensitivity False 2 45 0 NA 0.472529
DB00775 Tirofiban adenocarcinoma False 2 32 0 NA 0.694601
DB00775 Tirofiban bone.diseases False 2 144 0 NA -1.549027
DB00775 Tirofiban insulin.resistance False 2 26 0 NA -0.062483
DB00775 Tirofiban motor.neuron.disease False 2 31 0 NA 0.696172
DB00775 Tirofiban crohn.disease False 2 71 0 NA -0.633318
DB00775 Tirofiban endocrine.system.diseases False 2 291 0 NA -0.822152
DB00775 Tirofiban keratosis False 2 21 0 NA 0.153750
DB00775 Tirofiban psoriasis False 2 54 0 NA 0.716648
DB00775 Tirofiban varicose.veins False 2 20 0 NA -0.129742
DB00775 Tirofiban spinal.cord.diseases False 2 59 0 NA 0.874220
DB00775 Tirofiban neoplasms False 2 482 0 NA -0.157761
DB00775 Tirofiban rheumatic.diseases False 2 59 0 NA 0.774271
DB00775 Tirofiban pancreatic.diseases False 2 24 0 NA -1.423604
DB00775 Tirofiban myocardial.ischemia True 2 43 0 NA -3.195150
DB00775 Tirofiban autoimmune.diseases False 2 243 0 NA -0.943105
DB00775 Tirofiban kidney.neoplasms False 2 20 0 NA 0.302703
DB00775 Tirofiban arthritis False 2 76 0 NA 0.970588
DB00775 Tirofiban leukemia False 2 117 0 NA 0.220941
DB00775 Tirofiban hyperinsulinism False 2 26 0 NA -0.058136
DB00775 Tirofiban diabetes.mellitus.type.2 False 2 72 0 NA -2.460751
DB00775 Tirofiban arteriosclerosis False 2 38 0 NA -1.330259
DB00775 Tirofiban gastroenteritis False 2 122 0 NA -0.365152
DB00775 Tirofiban liver.cirrhosis False 2 24 0 NA 0.302500
DB00775 Tirofiban parkinson.disease False 2 30 0 NA 0.419097
DB00775 Tirofiban lupus.erythematosus.systemic False 2 75 0 NA 0.782364
DB00775 Tirofiban anemia.hemolytic False 2 29 0 NA -1.596636
DB00775 Tirofiban lymphoma False 2 24 0 NA 0.508334
DB00775 Tirofiban colitis.ulcerative False 2 55 0 NA -1.144757
DB00775 Tirofiban malabsorption.syndromes False 2 34 0 NA 0.229996
DB00775 Tirofiban colitis False 2 55 0 NA -1.080807
DB00775 Tirofiban anemia False 2 58 0 NA -0.520611
DB00775 Tirofiban sarcoma False 2 25 0 NA 0.509742
