group group.name disease flag n.target n.disease n.overlap s
DB00775 Tirofiban bone.diseases.metabolic False 2 27 0 NA
DB00775 Tirofiban colorectal.neoplasms False 2 42 0 NA
DB00775 Tirofiban eye.diseases False 2 231 0 NA
DB00775 Tirofiban collagen.diseases False 2 25 0 NA
DB00775 Tirofiban leukemia.myeloid.acute False 2 43 0 NA
DB00775 Tirofiban kidney.diseases False 2 144 0 NA
DB00775 Tirofiban epilepsy False 2 25 0 NA
DB00775 Tirofiban joint.diseases False 2 79 0 NA
DB00775 Tirofiban vascular.diseases False 2 181 0 NA
DB00775 Tirofiban neuroendocrine.tumors False 2 24 0 NA
DB00775 Tirofiban parkinsonian.disorders False 2 31 0 NA
DB00775 Tirofiban hypopigmentation False 2 22 0 NA
DB00775 Tirofiban intestinal.neoplasms False 2 42 0 NA
DB00775 Tirofiban thyroid.diseases False 2 30 0 NA
DB00775 Tirofiban diabetes.mellitus False 2 162 0 NA
DB00775 Tirofiban dementia False 2 42 0 NA
DB00775 Tirofiban mycobacterium.infections False 2 22 0 NA
DB00775 Tirofiban arrhythmias.cardiac False 2 30 0 NA
DB00775 Tirofiban prostatic.neoplasms False 2 61 0 NA
DB00775 Tirofiban head.and.neck.neoplasms False 2 35 0 NA
DB00775 Tirofiban inflammatory.bowel.diseases False 2 119 0 NA
DB00775 Tirofiban gastrointestinal.neoplasms False 2 72 0 NA
DB00775 Tirofiban asthma False 2 36 0 NA
DB00775 Tirofiban alzheimer.disease False 2 29 0 NA
DB00775 Tirofiban metabolism.inborn.errors False 2 289 0 NA
DB00775 Tirofiban macular.degeneration False 2 44 0 NA
DB00775 Tirofiban breast.neoplasms False 2 40 0 NA
DB00775 Tirofiban hypersensitivity False 2 45 0 NA
DB00775 Tirofiban adenocarcinoma False 2 32 0 NA
DB00775 Tirofiban bone.diseases False 2 144 0 NA
DB00775 Tirofiban insulin.resistance False 2 26 0 NA
DB00775 Tirofiban motor.neuron.disease False 2 31 0 NA
DB00775 Tirofiban crohn.disease False 2 71 0 NA
DB00775 Tirofiban endocrine.system.diseases False 2 291 0 NA
DB00775 Tirofiban keratosis False 2 21 0 NA
DB00775 Tirofiban psoriasis False 2 54 0 NA
DB00775 Tirofiban varicose.veins False 2 20 0 NA
DB00775 Tirofiban spinal.cord.diseases False 2 59 0 NA
DB00775 Tirofiban neoplasms False 2 482 0 NA
DB00775 Tirofiban rheumatic.diseases False 2 59 0 NA
DB00775 Tirofiban pancreatic.diseases False 2 24 0 NA
DB00775 Tirofiban myocardial.ischemia True 2 43 0 NA
DB00775 Tirofiban autoimmune.diseases False 2 243 0 NA
DB00775 Tirofiban kidney.neoplasms False 2 20 0 NA
DB00775 Tirofiban arthritis False 2 76 0 NA
DB00775 Tirofiban leukemia False 2 117 0 NA
