disease group.name group palliative label
adenocarcinoma Erlotinib DB00530 0 1
adenocarcinoma Floxuridine DB00322 1 1
adenocarcinoma Gefitinib DB00317 0 1
alzheimer.disease Donepezil DB00843 0.4 1
alzheimer.disease Galantamine DB00674 0 1
alzheimer.disease Memantine DB01043 0 1
alzheimer.disease Rivastigmine DB00989 0 1
alzheimer.disease Selegiline DB01037 0.4 0
alzheimer.disease Vitamin.E DB00163 0 0
amyotrophic.lateral.sclerosis Riluzole DB00740 0 1
anemia Folic.Acid DB00158 0 1
anemia Pyridoxine DB00165 0 1
anemia Vitamin.C DB00126 0 0
anemia.aplastic Felbamate DB00949 0 -1
anemia.hemolytic Vitamin.E DB00163 0 0
arrhythmias.cardiac Acebutolol DB01193 0 1
arrhythmias.cardiac Amiodarone DB01118 0 1
arrhythmias.cardiac Digoxin DB00390 0 1
arrhythmias.cardiac Diltiazem DB00343 0 0
arrhythmias.cardiac Disopyramide DB00280 0 1
arrhythmias.cardiac Dofetilide DB00204 0 1
arrhythmias.cardiac Dronedarone DB04855 0 1
arrhythmias.cardiac Flecainide DB01195 0 1
arrhythmias.cardiac Ibutilide DB00308 0 1
arrhythmias.cardiac Isoproterenol DB01064 0 1
arrhythmias.cardiac Lidocaine DB00281 0 0
arrhythmias.cardiac Mexiletine DB00379 0 1
arrhythmias.cardiac Moricizine DB00680 0 0
arrhythmias.cardiac Procainamide DB01035 0 1
arrhythmias.cardiac Propafenone DB01182 0 1
arrhythmias.cardiac Propranolol DB00571 0 1
arrhythmias.cardiac Quinidine DB00908 0 1
arrhythmias.cardiac Sotalol DB00489 0 1
arrhythmias.cardiac Verapamil DB00661 0 1
arterial.occlusive.diseases Papaverine DB01113 0 0
arterial.occlusive.diseases Streptokinase DB00086 0 0
arteriosclerosis Epoprostenol DB01240 0 0
arteriosclerosis Niacin DB00627 0 1
arthritis Celecoxib DB00482 0 1
arthritis Dexamethasone DB01234 0 1
arthritis Diclofenac DB00586 1 1
arthritis Etodolac DB00749 1 1
arthritis Hydrocortisone DB00741 0 0
arthritis Hydroxychloroquine DB01611 0 1
arthritis Ibuprofen DB01050 1 1
arthritis Indomethacin DB00328 0 1
arthritis Ketoprofen DB01009 1 1
arthritis Naproxen DB00788 0.6 1
arthritis Prednisone DB00635 0 1
arthritis Sulfasalazine DB00795 0 0
