group group.name disease flag n.target n.disease n.overlap s
DB00775 Tirofiban bone.diseases.metabolic False 2 27 0 NA
DB00775 Tirofiban colorectal.neoplasms False 2 42 0 NA
DB00775 Tirofiban eye.diseases False 2 231 0 NA
DB00775 Tirofiban collagen.diseases False 2 25 0 2.65512104772
DB00775 Tirofiban leukemia.myeloid.acute False 2 43 0 3.43141599714
DB00775 Tirofiban kidney.diseases False 2 144 0 8.65641245187
DB00775 Tirofiban epilepsy False 2 25 0 3.19006579
DB00775 Tirofiban joint.diseases False 2 79 0 0.962953940107
DB00775 Tirofiban vascular.diseases False 2 181 0 2.12196896186
DB00775 Tirofiban neuroendocrine.tumors False 2 24 0 5.45772431857
DB00775 Tirofiban parkinsonian.disorders False 2 31 0 3.93173906811
DB00775 Tirofiban hypopigmentation False 2 22 0 NA
DB00775 Tirofiban intestinal.neoplasms False 2 42 0 NA
DB00775 Tirofiban thyroid.diseases False 2 30 0 NA
DB00775 Tirofiban diabetes.mellitus False 2 162 0 14.4720298551
DB00775 Tirofiban dementia False 2 42 0 2.02392679331
DB00775 Tirofiban mycobacterium.infections False 2 22 0 NA
DB00775 Tirofiban arrhythmias.cardiac False 2 30 0 7.4527004272
DB00775 Tirofiban prostatic.neoplasms False 2 61 0 5.29513353701
DB00775 Tirofiban head.and.neck.neoplasms False 2 35 0 0.930224523199
DB00775 Tirofiban inflammatory.bowel.diseases False 2 119 0 1.22351688765
DB00775 Tirofiban gastrointestinal.neoplasms False 2 72 0 4.84542481387
DB00775 Tirofiban asthma False 2 36 0 7.9737676112
DB00775 Tirofiban alzheimer.disease False 2 29 0 3.47617299599
DB00775 Tirofiban metabolism.inborn.errors False 2 289 0 NA
DB00775 Tirofiban macular.degeneration False 2 44 0 NA
DB00775 Tirofiban breast.neoplasms False 2 40 0 6.53976952136
DB00775 Tirofiban hypersensitivity False 2 45 0 2.65512104772
DB00775 Tirofiban adenocarcinoma False 2 32 0 8.18670982858
DB00775 Tirofiban bone.diseases False 2 144 0 0.988495080722
DB00775 Tirofiban insulin.resistance False 2 26 0 1.78331127635
DB00775 Tirofiban motor.neuron.disease False 2 31 0 NA
DB00775 Tirofiban crohn.disease False 2 71 0 3.44678332196
DB00775 Tirofiban endocrine.system.diseases False 2 291 0 1.78331127635
DB00775 Tirofiban keratosis False 2 21 0 NA
DB00775 Tirofiban psoriasis False 2 54 0 6.01127698784
DB00775 Tirofiban varicose.veins False 2 20 0 NA
DB00775 Tirofiban spinal.cord.diseases False 2 59 0 NA
DB00775 Tirofiban neoplasms False 2 482 0 8.05815415086
DB00775 Tirofiban rheumatic.diseases False 2 59 0 2.65512104772
DB00775 Tirofiban pancreatic.diseases False 2 24 0 NA
DB00775 Tirofiban myocardial.ischemia True 2 43 0 134.254589621
